# variant,"BP, gated"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2910,0.2630,0.2250,0.1840,0.1360,0.0430,0.0510
1e4,0.6780,0.6570,0.6740,0.6420,0.5880,0.4920,0.4210
1e5,0.7640,0.7610,0.7730,0.7560,0.6940,0.6660,0.6420
1e6,0.7740,0.7720,0.8270,0.7790,0.7920,0.7420,0.7360
1e7,0.7900,0.8200,0.7900,0.8300,0.8400,0.7700,0.7900

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3190,0.3164,0.3068,0.3059,0.3102,0.3245,0.3360
1e3,0.6314,0.6212,0.6043,0.6025,0.6143,0.6497,0.6858
1e4,0.8533,0.8491,0.8482,0.8429,0.8328,0.8306,0.8377
1e5,0.9242,0.9230,0.9253,0.9186,0.9054,0.8988,0.8930
1e6,0.9391,0.9371,0.9507,0.9388,0.9440,0.9309,0.9227
1e7,0.9458,0.9541,0.9476,0.9556,0.9590,0.9488,0.9398
