# variant,"SO, no_gating"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2880,0.1710,0.0350,0.0130,0.0060,1.0000,1.0000
1e4,0.6930,0.6350,0.4240,0.1420,0.0860,1.0000,1.0000
1e5,0.7670,0.7780,0.6630,0.4180,0.2740,1.0000,1.0000
1e6,0.7990,0.7930,0.7660,0.6130,0.4770,1.0000,1.0000
1e7,0.7400,0.8500,0.7900,0.6900,0.6100,1.0000,1.0000

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3249,0.3145,0.3316,0.3872,0.4636,0.5611,0.6089
1e3,0.6311,0.6011,0.6015,0.6570,0.7495,0.8645,0.9277
1e4,0.8565,0.8377,0.7901,0.7715,0.8237,0.9278,0.9899
1e5,0.9255,0.9258,0.8845,0.8409,0.8505,0.9377,0.9987
1e6,0.9449,0.9450,0.9323,0.8902,0.8682,0.9401,0.9998
1e7,0.9337,0.9625,0.9489,0.9205,0.8841,0.9419,1.0000
